-2.082500, 6.790000, -1.347500; -0.667598, -1.227518, 9.066404; 0.000014, -0.000020, -0.000134;
-1.443750, 6.343750, 3.045000; -0.918844, -1.485943, 9.217153; 0.000014, -0.000020, -0.000134;
-1.618750, 7.017500, 3.657500; -0.401994, -1.579263, 9.360722; 0.000014, -0.000020, -0.000134;
2.765000, 6.807500, -1.470000; -0.215354, -1.679762, 9.525826; 0.000014, -0.000020, -0.000134;
-1.767500, 0.542500, -1.268750; -0.768096, -1.421337, 9.633504; 0.000014, -0.000020, -0.000134;
3.395000, 3.867500, 1.531250; -0.272782, -1.730011, 9.396614; 0.000014, -0.000020, -0.000134;
-10.263750, 0.568750, -7.297500; 0.014357, -1.564906, 9.403793; 0.000014, -0.000020, -0.000134;
-8.023750, 6.562500, -5.381250; -0.969093, -1.543371, 9.375079; 0.000014, -0.000020, -0.000134;
-21.428751, -0.813750, 0.892500; -0.617348, -1.607977, 8.951550; 0.000014, -0.000021, -0.000134;
-12.302500, 6.711250, -0.463750; -1.105484, -1.615155, 9.224331; 0.000014, -0.000021, -0.000134;
-21.332500, 0.498750, -2.537500; -0.172283, -1.536192, 9.561719; 0.000014, -0.000021, -0.000134;
-7.971250, 7.411250, -16.607500; -0.466600, -0.337388, 10.092926; 0.000015, -0.000021, -0.000136;
30.441250, 25.462500, -29.373751; -0.014357, -0.681954, 9.504292; 0.000015, -0.000021, -0.000136;
-0.393750, 0.717500, -12.643750; -2.347359, -0.445065, 7.508677; 0.000015, -0.000021, -0.000136;
-14.262500, 11.261250, 9.861250; -0.452243, -0.811167, 8.714660; 0.000015, -0.000019, -0.000135;
-26.696251, 5.705000, 19.320000; -0.739382, -0.868595, 9.324830; 0.000015, -0.000019, -0.000135;
-9.511250, 6.291250, 1.741250; -0.179462, -0.746561, 9.777073; 0.000015, -0.000019, -0.000135;
-1.968750, 5.670000, -0.778750; -0.215354, -0.531207, 9.985249; 0.000015, -0.000019, -0.000135;
5.153750, 3.255000, -8.837500; -0.559920, -0.976272, 9.504292; 0.000015, -0.000022, -0.000136;
